indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,period_start,mean_imd_score,unemployment_rate
social_need_composite,Raw social need index,E12000004,East Midlands,13.0,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,20.4,5.5
social_need_composite,Raw social need index,E12000006,East of England,10.8,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,17.4,4.2
social_need_composite,Raw social need index,E12000007,London,14.2,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,21.8,6.6
social_need_composite,Raw social need index,E12000001,North East,16.7,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,28.0,5.4
social_need_composite,Raw social need index,E12000002,North West,16.6,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,28.1,5.0
social_need_composite,Raw social need index,E12000008,South East,9.7,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,15.5,3.8
social_need_composite,Raw social need index,E12000009,South West,11.3,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,18.2,4.4
social_need_composite,Raw social need index,E12000005,West Midlands,15.3,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,25.3,5.3
social_need_composite,Raw social need index,E12000003,Yorkshire and The Humber,15.9,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",2026-04-01,26.0,5.8
